Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alexi,10.0,10.0,7.0,7.0,8.0,,7.0,,6.0,,7.0
Alexis,1214.0,873.0,885.0,723.0,645.0,485.0,375.0,382.0,395.0,298.0,299.0
Alexiz,8.0,,6.0,,,,,,,,
Alexsander,6.0,12.0,12.0,15.0,20.0,26.0,11.0,9.0,11.0,10.0,8.0
Alexsandro,,,8.0,,6.0,,,,,,
Alexys,8.0,6.0,,,7.0,7.0,,,,5.0,
Alexzander,30.0,49.0,40.0,41.0,40.0,39.0,38.0,47.0,37.0,46.0,40.0
Alfonso,149.0,157.0,154.0,166.0,139.0,118.0,104.0,90.0,86.0,82.0,76.0
Alfonzo,,5.0,9.0,7.0,6.0,10.0,5.0,6.0,9.0,7.0,
Alfred,51.0,49.0,41.0,54.0,51.0,61.0,48.0,33.0,36.0,35.0,52.0
Alfredo,307.0,276.0,327.0,291.0,223.0,205.0,179.0,174.0,153.0,175.0,143.0
Ali,95.0,92.0,74.0,78.0,80.0,84.0,90.0,95.0,96.0,92.0,124.0
Alian,,,,5.0,,,,,,,
Alias,,,7.0,,,,,7.0,6.0,,
Alijah,36.0,37.0,48.0,57.0,59.0,59.0,43.0,52.0,61.0,57.0,64.0
Alik,,,,,6.0,,,,,,
Alistair,,,6.0,15.0,,19.0,8.0,8.0,21.0,15.0,20.0
Alister,,,,,,6.0,6.0,5.0,8.0,7.0,7.0
Alize,,,5.0,5.0,,,,,,,
Allan,136.0,111.0,131.0,114.0,106.0,116.0,93.0,78.0,74.0,75.0,59.0
Allen,221.0,190.0,187.0,190.0,177.0,176.0,164.0,163.0,152.0,161.0,199.0
Allister,,,,,,,5.0,5.0,,,
Alon,,6.0,7.0,7.0,6.0,,5.0,6.0,,,
Alonso,87.0,97.0,123.0,108.0,119.0,109.0,132.0,96.0,96.0,93.0,102.0
Alonzo,82.0,97.0,97.0,93.0,105.0,97.0,94.0,106.0,113.0,140.0,124.0
Alp,,,,,5.0,,,,,,
Alphonse,,,,,6.0,,,,,,
Alphonso,6.0,,,5.0,,6.0,,,,,
Alston,,9.0,,5.0,6.0,8.0,7.0,9.0,12.0,10.0,7.0
Alton,17.0,15.0,8.0,14.0,14.0,14.0,17.0,11.0,18.0,10.0,13.0
Alvaro,109.0,121.0,136.0,119.0,108.0,94.0,81.0,93.0,62.0,79.0,66.0
Alvin,79.0,85.0,94.0,96.0,143.0,102.0,115.0,76.0,102.0,87.0,72.0
Alvino,,,,7.0,,5.0,,,,,
Amaan,8.0,8.0,,8.0,5.0,5.0,,,,,6.0
Amadeo,6.0,,5.0,8.0,6.0,5.0,,8.0,10.0,14.0,8.0
Amadeus,,9.0,5.0,6.0,7.0,5.0,8.0,11.0,10.0,8.0,8.0
Amado,11.0,22.0,10.0,18.0,9.0,11.0,,8.0,8.0,10.0,13.0
Amador,7.0,8.0,7.0,16.0,9.0,5.0,12.0,8.0,9.0,6.0,9.0
Aman,22.0,22.0,20.0,11.0,15.0,15.0,11.0,6.0,14.0,7.0,8.0
Amani,12.0,5.0,13.0,10.0,20.0,15.0,7.0,13.0,8.0,10.0,7.0
Amanpreet,,5.0,,,,,,,,,
Amar,10.0,13.0,18.0,14.0,15.0,9.0,10.0,15.0,9.0,9.0,12.0
Amare,11.0,25.0,19.0,26.0,33.0,26.0,31.0,34.0,31.0,24.0,11.0
Amaree,,,,,,,5.0,,,,
Amari,47.0,55.0,42.0,57.0,54.0,66.0,54.0,72.0,71.0,61.0,50.0
Amarie,,,,6.0,,,,,,,
Amarii,,,,,,5.0,,5.0,,,
Amarion,28.0,14.0,5.0,5.0,,,,6.0,7.0,,5.0
Amaru,,,5.0,,5.0,8.0,7.0,6.0,6.0,11.0,6.0
Amauri,,8.0,7.0,6.0,,9.0,,5.0,5.0,,
Amaury,,,,12.0,5.0,9.0,5.0,7.0,8.0,9.0,
Amaziah,,,,,,,,,,8.0,8.0
Ambrose,9.0,5.0,6.0,9.0,,6.0,10.0,6.0,7.0,9.0,8.0
Ameen,10.0,5.0,8.0,9.0,6.0,,9.0,5.0,10.0,6.0,5.0
Ameer,8.0,14.0,18.0,15.0,12.0,11.0,26.0,18.0,16.0,26.0,17.0
Ameir,,,,,,,,,,5.0,
Amen,,,,,,,5.0,6.0,,,
Ames,,,,,,,,,10.0,,
Ameya,,6.0,,5.0,,,,,,,
Ami,,,6.0,,,5.0,,9.0,,,
Amiel,,,6.0,,,5.0,5.0,,,5.0,
Amier,,,,,,5.0,,,,,
Amilcar,,,,,,5.0,5.0,7.0,,,
Amin,9.0,12.0,8.0,11.0,11.0,9.0,5.0,15.0,7.0,11.0,10.0
Amine,,,,,,5.0,,,,,
Amir,85.0,87.0,86.0,101.0,100.0,115.0,116.0,106.0,125.0,123.0,133.0
Amire,,,,,5.0,,,,,,
Amiri,,,,,6.0,,,,,,5.0
Amit,9.0,10.0,9.0,7.0,5.0,8.0,6.0,8.0,7.0,6.0,6.0
Ammar,9.0,11.0,9.0,6.0,,12.0,8.0,8.0,9.0,11.0,11.0
Ammon,9.0,8.0,7.0,7.0,,8.0,7.0,,6.0,5.0,7.0
Amogh,10.0,6.0,9.0,11.0,8.0,12.0,10.0,6.0,,5.0,
Amon,,,,,5.0,,,5.0,,,
Amos,7.0,13.0,7.0,13.0,9.0,5.0,13.0,13.0,16.0,18.0,17.0
Amr,,5.0,,6.0,,,,,,,
Amrit,10.0,7.0,5.0,11.0,,,,7.0,5.0,,
An,5.0,5.0,,6.0,5.0,,,,,7.0,7.0
Anakin,7.0,27.0,13.0,16.0,10.0,16.0,14.0,10.0,17.0,18.0,38.0
Anand,9.0,7.0,6.0,7.0,13.0,5.0,,,,8.0,5.0
Anant,,,,,,,5.0,,,,
Anas,,9.0,,6.0,6.0,7.0,,6.0,,,5.0
Anastacio,,5.0,,,,,,,,,
Anay,,,7.0,8.0,10.0,17.0,17.0,23.0,16.0,17.0,13.0
Anden,7.0,,,,6.0,,,5.0,,,
Ander,,,,6.0,6.0,5.0,5.0,7.0,8.0,10.0,15.0
Anders,16.0,12.0,14.0,17.0,26.0,11.0,23.0,20.0,20.0,13.0,35.0
Andersen,,6.0,,,8.0,11.0,7.0,7.0,,5.0,5.0
Anderson,28.0,53.0,73.0,94.0,94.0,126.0,91.0,110.0,114.0,117.0,99.0
Andi,8.0,9.0,7.0,6.0,,6.0,7.0,,,,
Andon,18.0,,8.0,6.0,5.0,,,,,,
Andoni,,,,,,5.0,,,,,
Andrae,,,,7.0,,,,,6.0,,
Andranik,9.0,10.0,5.0,,,,7.0,5.0,,,
Andre,278.0,302.0,331.0,291.0,295.0,276.0,296.0,256.0,249.0,229.0,213.0
Andrea,8.0,5.0,5.0,,,,,5.0,,,
Andreas,42.0,32.0,36.0,26.0,37.0,25.0,26.0,26.0,26.0,20.0,16.0
Andree,,,6.0,,13.0,,9.0,6.0,9.0,,5.0
Andrei,16.0,19.0,28.0,22.0,26.0,16.0,22.0,19.0,18.0,15.0,13.0
Andres,768.0,785.0,751.0,831.0,803.0,682.0,649.0,630.0,585.0,545.0,484.0
Andrew,3490.0,3166.0,3126.0,3035.0,2826.0,2583.0,2381.0,2282.0,2146.0,1921.0,1898.0
Andrey,19.0,25.0,21.0,20.0,15.0,19.0,20.0,21.0,17.0,22.0,16.0
Andrez,9.0,9.0,10.0,11.0,12.0,12.0,5.0,7.0,5.0,11.0,6.0
Andrick,,8.0,,6.0,7.0,6.0,,,,,
Andrik,6.0,17.0,17.0,16.0,9.0,10.0,6.0,,,5.0,
Andriy,,,6.0,,,,,,,,
Andru,9.0,10.0,12.0,13.0,11.0,6.0,,,5.0,,
Andrue,,6.0,,,,,,,,,
Andruw,7.0,9.0,,8.0,9.0,,,,5.0,,
Andy,515.0,547.0,481.0,498.0,466.0,402.0,399.0,346.0,330.0,377.0,407.0
Aneesh,7.0,12.0,10.0,11.0,6.0,7.0,8.0,5.0,8.0,5.0,9.0
Angad,,,10.0,12.0,6.0,9.0,12.0,13.0,12.0,12.0,7.0
Angel,3210.0,3517.0,3687.0,3498.0,3169.0,3003.0,2534.0,2147.0,1933.0,1741.0,1616.0
Angeldejesus,,,5.0,,,,,,,,
Angelgabriel,6.0,9.0,9.0,12.0,,5.0,8.0,6.0,,,
Angelino,,,6.0,,,,6.0,,,,
Angelito,,,,,,5.0,,,,,
Angeljesus,,,,5.0,,,,,,,
Angello,,,5.0,8.0,,12.0,7.0,,6.0,,5.0
Angelo,252.0,242.0,267.0,254.0,221.0,216.0,245.0,228.0,208.0,224.0,206.0
Anguel,,5.0,5.0,5.0,,,5.0,,,,
Angus,20.0,9.0,20.0,12.0,10.0,16.0,6.0,7.0,13.0,10.0,18.0
Anh,,,5.0,,,5.0,,,,7.0,
Anibal,,5.0,15.0,7.0,,15.0,6.0,11.0,10.0,10.0,
Anik,,,,5.0,,,,5.0,,,
Aniket,5.0,8.0,7.0,,,,,,,,8.0
Aniketh,5.0,,5.0,,,,,,,,
Anirudh,19.0,16.0,13.0,22.0,15.0,13.0,14.0,9.0,18.0,17.0,10.0
Anish,32.0,24.0,30.0,31.0,21.0,37.0,36.0,22.0,20.0,22.0,17.0
Anival,,,,,5.0,,,,,,
Anjel,6.0,20.0,12.0,9.0,9.0,5.0,12.0,6.0,8.0,5.0,
Ankit,,5.0,,,,,,,,,
Anmol,11.0,8.0,5.0,6.0,,,,,5.0,,9.0
Anoop,,,,,,,,,,,5.0
Ansel,13.0,13.0,13.0,16.0,17.0,15.0,21.0,16.0,17.0,21.0,24.0
Anselmo,,9.0,,,7.0,5.0,,,,,
Ansh,13.0,8.0,7.0,15.0,22.0,21.0,19.0,21.0,18.0,22.0,21.0
Anshul,7.0,6.0,,,,,5.0,5.0,,,
Anson,23.0,14.0,18.0,21.0,25.0,38.0,22.0,20.0,27.0,32.0,39.0
Anthoney,,,,,,7.0,,,6.0,,
Anthoni,,8.0,5.0,,,5.0,,,,5.0,
Anthonie,,8.0,,6.0,,,6.0,6.0,,,
Anthonny,,5.0,,,,,,,,,
Anthony,3805.0,3745.0,3774.0,3782.0,3637.0,3086.0,2858.0,2687.0,2420.0,2227.0,2074.0
Anthonyjr,,,,6.0,,,,,,,
Antione,,,5.0,5.0,5.0,,,,,,
Antoine,28.0,31.0,35.0,22.0,32.0,24.0,17.0,22.0,17.0,14.0,12.0
Anton,34.0,32.0,33.0,17.0,32.0,30.0,24.0,25.0,29.0,24.0,24.0
Antone,,6.0,,,,,,,,,
Antoni,8.0,10.0,22.0,17.0,12.0,5.0,6.0,10.0,,,
Antonino,,6.0,,,,,,5.0,,,
Antonio,813.0,791.0,773.0,743.0,694.0,610.0,527.0,536.0,484.0,447.0,442.0
Antony,47.0,45.0,49.0,41.0,37.0,28.0,27.0,24.0,25.0,26.0,21.0
Antuan,,,,,,,,5.0,,,
Antwan,8.0,9.0,12.0,14.0,10.0,6.0,9.0,8.0,6.0,8.0,
Antwon,7.0,9.0,5.0,11.0,,,7.0,,,6.0,
Antwone,8.0,,6.0,,8.0,,6.0,,,,
Anuar,6.0,8.0,,,,,,,5.0,,
Anuj,6.0,9.0,5.0,,11.0,,,,,,
Anurag,,,7.0,,,,,,,,
Anvay,,,,,,,,,5.0,,
Anwar,,8.0,,7.0,6.0,,6.0,6.0,,,
Apolinar,,5.0,7.0,8.0,,,,6.0,,,
Apollo,8.0,7.0,12.0,20.0,24.0,16.0,24.0,27.0,47.0,32.0,50.0
Apolo,,,,,,,,,,,5.0
Aquiles,,,9.0,5.0,,5.0,6.0,6.0,6.0,,
Ara,,11.0,,,,,,5.0,,,
Aram,23.0,16.0,24.0,24.0,16.0,17.0,15.0,15.0,21.0,14.0,26.0
Aramis,7.0,10.0,7.0,5.0,8.0,12.0,7.0,6.0,5.0,5.0,11.0
Aran,5.0,6.0,,,,,5.0,5.0,,8.0,8.0
Arash,,,7.0,,,,5.0,,,,6.0
Arath,18.0,24.0,13.0,18.0,11.0,10.0,9.0,12.0,5.0,8.0,5.0
Arav,12.0,10.0,,16.0,9.0,11.0,12.0,7.0,15.0,8.0,8.0
Archer,8.0,16.0,8.0,14.0,17.0,42.0,45.0,56.0,78.0,85.0,119.0
Archie,,7.0,7.0,,6.0,8.0,8.0,8.0,9.0,9.0,16.0
Archit,5.0,,,5.0,,,,,,,
