Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aleigha,,5.0,5.0,,,6.0,7.0,12.0,14.0,5.0,5.0
Aleisha,5.0,6.0,5.0,,,,,,,,
Alejandra,29.0,47.0,44.0,35.0,41.0,33.0,38.0,32.0,22.0,25.0,33.0
Aleksandra,12.0,11.0,20.0,24.0,22.0,16.0,13.0,11.0,13.0,20.0,13.0
Alena,18.0,16.0,18.0,13.0,19.0,17.0,14.0,24.0,8.0,17.0,30.0
Alesha,,6.0,6.0,7.0,6.0,9.0,5.0,,6.0,,
Alessa,,7.0,5.0,7.0,,,5.0,6.0,5.0,,
Alessandra,54.0,55.0,59.0,65.0,69.0,56.0,62.0,63.0,77.0,76.0,85.0
Alessia,32.0,22.0,24.0,33.0,30.0,29.0,36.0,38.0,42.0,38.0,42.0
Alethea,,,,,,,,,,,5.0
Alex,10.0,14.0,11.0,8.0,,7.0,6.0,9.0,6.0,,11.0
Alexa,368.0,381.0,420.0,397.0,351.0,373.0,370.0,320.0,315.0,300.0,283.0
Alexander,5.0,,7.0,,6.0,5.0,5.0,,,,
Alexandra,596.0,507.0,507.0,492.0,362.0,383.0,327.0,337.0,325.0,295.0,254.0
Alexandrea,10.0,9.0,9.0,9.0,7.0,6.0,7.0,7.0,5.0,9.0,
Alexandria,115.0,108.0,128.0,115.0,66.0,67.0,87.0,81.0,87.0,71.0,75.0
Alexcia,,5.0,,,,,,,,,
Alexi,9.0,5.0,,11.0,6.0,7.0,,,,,
Alexia,86.0,64.0,76.0,69.0,62.0,49.0,60.0,51.0,55.0,78.0,49.0
Alexis,581.0,486.0,455.0,400.0,394.0,407.0,372.0,291.0,233.0,199.0,192.0
Alexsandra,7.0,10.0,9.0,,6.0,,6.0,,7.0,,5.0
Alexus,27.0,12.0,15.0,14.0,15.0,11.0,5.0,5.0,,,
Alexys,,9.0,8.0,,,5.0,,,,,
Alexzandra,5.0,,,,,,,,,,
Alexzandria,,5.0,,,,,,,,,
Aleya,5.0,,,,5.0,,,,,5.0,
Aleyah,,,,8.0,,5.0,,5.0,7.0,5.0,
Aleyda,,,,,,,,,,,5.0
Aleyna,,5.0,9.0,8.0,5.0,5.0,7.0,,10.0,7.0,7.0
Aleysha,,,,,,,,,5.0,,
Ali,6.0,,8.0,6.0,8.0,8.0,6.0,13.0,5.0,5.0,6.0
Alia,10.0,17.0,12.0,12.0,13.0,27.0,26.0,40.0,21.0,25.0,31.0
Aliah,9.0,,6.0,,8.0,8.0,12.0,11.0,13.0,8.0,7.0
