Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ailani,22.0,23.0,23.0,30.0,26.0,27.0,20.0,27.0,27.0,14.0,35.0
Ailanie,,,,,5.0,,,,,,
Ailany,,5.0,5.0,8.0,5.0,7.0,7.0,10.0,6.0,7.0,10.0
Ailed,,,7.0,7.0,7.0,8.0,7.0,,,,
Ailee,5.0,,,,,,,,6.0,12.0,
Aileen,202.0,236.0,211.0,256.0,252.0,243.0,254.0,232.0,227.0,169.0,194.0
Aileene,,,,,5.0,,,,,,
Ailen,,,,,,5.0,,,7.0,,
Ailene,10.0,8.0,6.0,12.0,16.0,11.0,10.0,11.0,5.0,10.0,7.0
Aileth,,,8.0,,,,,,,,
Ailey,,,,,7.0,7.0,11.0,5.0,9.0,6.0,13.0
Aili,,5.0,,,5.0,6.0,,,,7.0,
Ailin,5.0,10.0,11.0,14.0,11.0,27.0,17.0,12.0,20.0,14.0,10.0
Ailish,,,,,5.0,6.0,8.0,,,5.0,
Aily,,,,,,,,,6.0,,
Ailyn,22.0,34.0,28.0,47.0,55.0,48.0,55.0,43.0,56.0,52.0,47.0
Ailynn,,,,,5.0,,5.0,5.0,7.0,6.0,9.0
Aimar,,,,,5.0,5.0,15.0,,,,
Aime,13.0,5.0,,10.0,7.0,7.0,28.0,12.0,6.0,9.0,11.0
Aimee,87.0,86.0,96.0,66.0,79.0,80.0,122.0,105.0,94.0,99.0,116.0
Aina,,,,,,,,,7.0,,
Ainara,,,,5.0,,,,,,,11.0
Aine,9.0,8.0,,7.0,5.0,8.0,,6.0,5.0,5.0,6.0
Ainslee,6.0,,,,,,,,,,
Ainsley,59.0,54.0,72.0,37.0,44.0,42.0,52.0,61.0,49.0,59.0,58.0
Aira,,,,,,,,5.0,7.0,,7.0
Airam,7.0,13.0,11.0,11.0,9.0,9.0,10.0,10.0,16.0,10.0,8.0
Aireanna,,,,5.0,,,,,,,
Airi,,,5.0,,,,,,,,9.0
Airiana,,,,6.0,,,,,,,
Airianna,,,,,,,5.0,,,,
Aisha,65.0,46.0,57.0,61.0,44.0,47.0,50.0,67.0,55.0,52.0,54.0
Aishah,8.0,,,,,,,,,,
Aishani,,,,6.0,,5.0,,8.0,,12.0,5.0
Aishwarya,11.0,7.0,8.0,8.0,6.0,,7.0,6.0,7.0,,
Aisley,,,,,5.0,,,,,,8.0
Aislin,,,,6.0,6.0,8.0,5.0,6.0,,13.0,10.0
Aisling,6.0,5.0,6.0,8.0,6.0,,13.0,6.0,6.0,8.0,
Aislinn,22.0,20.0,14.0,17.0,15.0,15.0,13.0,17.0,12.0,21.0,14.0
Aislyn,,8.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,6.0,7.0
Aislynn,8.0,,,5.0,13.0,7.0,10.0,6.0,10.0,14.0,
Aitana,,,,6.0,,7.0,,,,8.0,18.0
Aiva,,,,,6.0,,,,6.0,8.0,8.0
Aivy,,,,,,,,,5.0,,
Aixa,,18.0,16.0,26.0,8.0,7.0,6.0,8.0,,6.0,7.0
Aiyana,38.0,47.0,52.0,50.0,51.0,80.0,65.0,54.0,56.0,72.0,53.0
Aiyanah,,,,,8.0,,,,,,
Aiyanna,14.0,11.0,15.0,25.0,24.0,31.0,38.0,25.0,26.0,18.0,24.0
Aiza,,5.0,,,5.0,,8.0,8.0,15.0,13.0,17.0
Aizah,,,,,,,,,,6.0,
Aja,17.0,12.0,16.0,12.0,6.0,12.0,10.0,7.0,6.0,,
Ajah,9.0,,6.0,,,6.0,,,,,
Ajanae,5.0,,,5.0,,,,,,,
Akane,,,,,,,5.0,,,,
Akari,6.0,6.0,,,,,,,11.0,9.0,7.0
