Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Alexzander,11.0,16.0,12.0,13.0,10.0,17.0,13.0,10.0,15.0,6.0,8.0
Alfonso,16.0,20.0,14.0,16.0,13.0,16.0,10.0,10.0,7.0,14.0,7.0
Alfred,18.0,27.0,24.0,39.0,31.0,33.0,26.0,20.0,22.0,22.0,39.0
Alfredo,24.0,17.0,29.0,19.0,18.0,20.0,18.0,20.0,10.0,17.0,13.0
Ali,79.0,96.0,88.0,102.0,92.0,97.0,97.0,104.0,109.0,103.0,119.0
Alif,,,,5.0,,,,,,,
Alijah,20.0,15.0,18.0,20.0,23.0,27.0,25.0,32.0,26.0,14.0,22.0
Alim,,,,,,,6.0,,,5.0,
Aliou,6.0,,,,,5.0,,,6.0,,
Alisher,,,,,,,,,,,5.0
Alistair,6.0,,,8.0,5.0,,6.0,6.0,6.0,8.0,10.0
Allan,56.0,53.0,28.0,41.0,28.0,36.0,34.0,31.0,35.0,27.0,26.0
Allen,101.0,85.0,80.0,80.0,80.0,66.0,74.0,75.0,85.0,64.0,50.0
Alon,,,5.0,,6.0,,,,,,
Alonso,5.0,,,,6.0,9.0,10.0,6.0,11.0,14.0,9.0
Alonzo,13.0,15.0,14.0,6.0,18.0,8.0,11.0,13.0,10.0,24.0,16.0
Alp,,,,,6.0,,,,,,
Alpha,12.0,14.0,15.0,18.0,17.0,17.0,11.0,9.0,16.0,13.0,16.0
Alphonse,,,,,,,5.0,5.0,,,
Alphonso,,6.0,5.0,,,,,,,,
Alston,7.0,,,5.0,,6.0,,7.0,16.0,9.0,14.0
Alter,8.0,11.0,8.0,5.0,9.0,7.0,7.0,6.0,18.0,8.0,8.0
Alton,,5.0,5.0,6.0,,,,5.0,5.0,5.0,
Alvaro,17.0,11.0,11.0,10.0,12.0,11.0,15.0,8.0,6.0,9.0,7.0
Alvin,53.0,79.0,65.0,74.0,73.0,57.0,51.0,71.0,69.0,66.0,55.0
Aly,5.0,5.0,6.0,,,5.0,5.0,,,,
Amaan,7.0,,,5.0,6.0,6.0,,6.0,8.0,7.0,5.0
Amadeus,,,,,,,,,,5.0,
Amadou,17.0,11.0,13.0,17.0,17.0,17.0,14.0,18.0,22.0,18.0,18.0
Aman,13.0,13.0,10.0,13.0,7.0,,7.0,7.0,8.0,,6.0
Amani,15.0,14.0,9.0,13.0,11.0,11.0,8.0,8.0,9.0,,7.0
Amar,15.0,24.0,16.0,13.0,24.0,20.0,14.0,18.0,19.0,19.0,10.0
Amare,8.0,20.0,16.0,25.0,20.0,24.0,51.0,78.0,60.0,67.0,31.0
Amaree,,,,,,7.0,7.0,,,6.0,
Amari,59.0,55.0,56.0,63.0,75.0,85.0,92.0,90.0,81.0,67.0,78.0
Amarii,,,,,,6.0,,6.0,,,
Amarion,17.0,5.0,5.0,,,,10.0,,,,5.0
Amauri,,5.0,,6.0,10.0,9.0,6.0,9.0,10.0,,5.0
Amaury,11.0,,12.0,7.0,6.0,7.0,,5.0,8.0,,
Ambrose,,,,,5.0,,,,,,
Ameen,7.0,,6.0,,5.0,5.0,5.0,,,7.0,
Ameer,14.0,21.0,22.0,8.0,21.0,22.0,25.0,24.0,22.0,30.0,18.0
Ameir,,,,,,,7.0,,,,
Amel,6.0,,,,,,,,,,
Amer,,,5.0,5.0,,8.0,,6.0,,,
Amere,,,,,,7.0,7.0,6.0,,9.0,12.0
Amiel,,,,7.0,,,,,,,
Amier,,6.0,,,,,,5.0,,,
Amin,6.0,10.0,12.0,,10.0,11.0,11.0,8.0,11.0,10.0,12.0
Amine,,,,,,,,,,,5.0
Amir,102.0,121.0,143.0,131.0,162.0,161.0,157.0,193.0,153.0,223.0,209.0
Amire,,,,,,5.0,5.0,,,5.0,
Amiri,,,6.0,,,,,,,,
Amirjon,,,,,,,,,,,6.0
Amit,12.0,11.0,9.0,13.0,,10.0,7.0,9.0,9.0,9.0,5.0
Amitai,,,,,6.0,,,,,,
Ammar,10.0,12.0,12.0,10.0,12.0,10.0,9.0,10.0,,15.0,11.0
Amos,,8.0,6.0,9.0,8.0,10.0,9.0,10.0,7.0,12.0,13.0
Amr,8.0,5.0,6.0,12.0,6.0,10.0,,9.0,,6.0,7.0
Amrom,6.0,9.0,11.0,9.0,13.0,23.0,9.0,18.0,12.0,6.0,7.0
Anakin,,,5.0,,,7.0,6.0,,,,
Anand,5.0,,6.0,,,5.0,,5.0,,,5.0
Anas,9.0,11.0,7.0,11.0,13.0,9.0,13.0,9.0,8.0,13.0,21.0
Anastasios,,,5.0,,5.0,,,,5.0,7.0,
Anders,5.0,9.0,12.0,6.0,6.0,6.0,7.0,9.0,13.0,15.0,7.0
Andersen,,,5.0,,,,,,,,
Anderson,42.0,46.0,52.0,73.0,80.0,89.0,92.0,106.0,120.0,100.0,83.0
Andi,7.0,12.0,8.0,9.0,6.0,7.0,,7.0,9.0,8.0,7.0
Andon,5.0,,5.0,6.0,,,,,,,
Andre,140.0,117.0,136.0,112.0,92.0,99.0,91.0,84.0,76.0,74.0,59.0
Andrea,,6.0,,5.0,5.0,,,,,,6.0
Andreas,12.0,19.0,26.0,23.0,17.0,11.0,9.0,12.0,12.0,12.0,22.0
Andrei,8.0,6.0,11.0,7.0,6.0,9.0,9.0,7.0,5.0,7.0,
Andres,76.0,94.0,84.0,79.0,81.0,81.0,61.0,90.0,59.0,57.0,52.0
Andrew,1301.0,1238.0,1121.0,1103.0,928.0,893.0,848.0,872.0,795.0,649.0,645.0
Andrews,,,7.0,,5.0,,,,,,
Andrey,6.0,10.0,,9.0,7.0,7.0,8.0,8.0,5.0,9.0,
Andry,,,,,8.0,,5.0,,,,
Andy,214.0,231.0,204.0,186.0,183.0,169.0,170.0,135.0,150.0,107.0,124.0
Aneudy,5.0,,,,,,,,,,
Angad,,,,,5.0,,,,,,
Angel,473.0,545.0,556.0,490.0,475.0,477.0,453.0,401.0,400.0,326.0,325.0
Angelo,133.0,108.0,135.0,137.0,107.0,103.0,98.0,105.0,92.0,107.0,99.0
Angus,11.0,9.0,17.0,15.0,10.0,7.0,11.0,9.0,16.0,12.0,11.0
Anibal,5.0,,,,,5.0,,,,,
Anish,10.0,,6.0,7.0,6.0,6.0,7.0,,,9.0,5.0
Anisjon,,,,,,,,,,,6.0
Ansel,,,,5.0,7.0,,,5.0,5.0,,5.0
Ansh,8.0,,,9.0,,,,,12.0,,7.0
Anson,13.0,22.0,14.0,18.0,36.0,29.0,21.0,29.0,29.0,27.0,28.0
Anthony,1659.0,1620.0,1542.0,1618.0,1490.0,1267.0,1270.0,1154.0,1073.0,985.0,886.0
Antione,,5.0,,,,,,,,,
Antoine,28.0,17.0,21.0,28.0,24.0,15.0,28.0,18.0,22.0,11.0,13.0
Anton,13.0,16.0,30.0,13.0,17.0,21.0,15.0,16.0,13.0,24.0,27.0
Antoni,6.0,6.0,12.0,9.0,9.0,5.0,10.0,10.0,10.0,,
Antonino,8.0,9.0,5.0,,7.0,5.0,6.0,8.0,7.0,,8.0
Antonio,285.0,248.0,244.0,204.0,236.0,215.0,229.0,206.0,178.0,178.0,170.0
Antonios,8.0,,,,,,,,,,
Antony,28.0,21.0,23.0,27.0,29.0,30.0,19.0,12.0,11.0,15.0,11.0
Antwan,10.0,13.0,,6.0,14.0,8.0,,5.0,,10.0,5.0
Antwon,5.0,7.0,7.0,,6.0,,5.0,,7.0,,
Antwone,11.0,,,6.0,7.0,,,,,,
Anwar,,12.0,10.0,,5.0,6.0,,5.0,7.0,5.0,
Apollo,,,6.0,,8.0,,7.0,7.0,,9.0,7.0
Aqib,,,5.0,,,,,,,5.0,
Aquiles,,,,5.0,,,,,,,
Araf,,,5.0,,5.0,,,,6.0,8.0,8.0
Arafat,,,,,,,,6.0,,,
Aram,,,,,,,5.0,,,,
Aramis,6.0,,9.0,5.0,9.0,5.0,6.0,,6.0,,
